RegionNombre,Semana,Temp_Mediana_Semanal
Región de Antofagasta,2022-12-20,19.8
Región de Antofagasta,2022-12-27,19.2
Región de Antofagasta,2023-01-03,19.3
Región de Antofagasta,2023-01-10,20.8
Región de Antofagasta,2023-01-17,19.200000000000003
Región de Antofagasta,2023-01-24,19.8
Región de Antofagasta,2023-01-31,21.9
Región de Antofagasta,2023-02-07,21.4
Región de Antofagasta,2023-02-14,22.2
Región de Antofagasta,2023-02-21,21.5
Región de Antofagasta,2023-02-28,21.4
Región de Antofagasta,2023-03-07,21.5
Región de Antofagasta,2023-03-14,21.3
Región de Antofagasta,2023-03-21,21.6
Región de Antofagasta,2023-03-28,22.0
Región de Antofagasta,2023-04-04,20.5
Región de Antofagasta,2023-04-11,19.3
Región de Antofagasta,2023-04-18,18.9
Región de Antofagasta,2023-04-25,17.4
Región de Antofagasta,2023-05-02,15.55
Región de Antofagasta,2023-05-09,17.2
Región de Antofagasta,2023-05-16,16.9
Región de Antofagasta,2023-05-23,16.75
Región de Antofagasta,2023-05-30,15.9
Región de Antofagasta,2023-06-06,16.05
Región de Antofagasta,2023-06-13,14.85
Región de Antofagasta,2023-06-20,15.95
Región de Antofagasta,2023-06-27,16.4
Región de Antofagasta,2023-07-04,16.05
Región de Antofagasta,2023-07-11,16.9
Región de Antofagasta,2023-07-18,17.4
Región de Antofagasta,2023-07-25,17.1
Región de Antofagasta,2023-08-01,17.5
Región de Antofagasta,2023-08-08,17.1
Región de Antofagasta,2023-08-15,17.5
Región de Antofagasta,2023-08-22,16.5
Región de Antofagasta,2023-08-29,15.6
Región de Antofagasta,2023-09-05,16.2
Región de Antofagasta,2023-09-12,16.5
Región de Antofagasta,2023-09-19,16.7
Región de Antofagasta,2023-09-26,16.6
Región de Antofagasta,2023-10-03,16.4
Región de Antofagasta,2023-10-10,16.8
Región de Antofagasta,2023-10-17,18.0
Región de Antofagasta,2023-10-24,16.3
Región de Antofagasta,2023-10-31,16.6
Región de Antofagasta,2023-11-07,18.5
Región de Antofagasta,2023-11-14,17.4
Región de Antofagasta,2023-11-21,18.2
Región de Antofagasta,2023-11-28,18.65
Región de Antofagasta,2023-12-05,18.7
Región de Antofagasta,2023-12-12,20.0
Región de Antofagasta,2023-12-19,19.8
Región de Antofagasta,2023-12-26,20.6
Región de Antofagasta,2024-01-02,20.8
Región de Antofagasta,2024-01-09,21.2
Región de Antofagasta,2024-01-16,21.3
Región de Antofagasta,2024-01-23,21.9
Región de Antofagasta,2024-01-30,22.6
Región de Antofagasta,2024-02-06,22.5
Región de Antofagasta,2024-02-13,22.0
Región de Antofagasta,2024-02-20,21.7
Región de Antofagasta,2024-02-27,21.3
Región de Antofagasta,2024-03-05,21.1
Región de Antofagasta,2024-03-12,19.8
Región de Antofagasta,2024-03-19,20.0
Región de Antofagasta,2024-03-26,19.6
Región de Antofagasta,2024-04-02,19.4
Región de Antofagasta,2024-04-09,18.6
Región de Antofagasta,2024-04-16,18.9
Región de Antofagasta,2024-04-23,18.2
Región de Antofagasta,2024-04-30,15.6
Región de Antofagasta,2024-05-07,15.5
Región de Antofagasta,2024-05-14,14.5
Región de Antofagasta,2024-05-21,14.1
Región de Antofagasta,2024-05-28,14.1
Región de Antofagasta,2024-06-04,15.1
Región de Antofagasta,2024-06-11,14.6
Región de Antofagasta,2024-06-18,14.2
Región de Antofagasta,2024-06-25,13.3
Región de Antofagasta,2024-07-02,13.8
Región de Antofagasta,2024-07-09,12.7
Región de Antofagasta,2024-07-16,13.9
Región de Antofagasta,2024-07-23,13.7
Región de Antofagasta,2024-07-30,14.3
Región de Antofagasta,2024-08-06,13.6
Región de Antofagasta,2024-08-13,14.5
Región de Antofagasta,2024-08-20,14.2
Región de Antofagasta,2024-08-27,13.8
Región de Antofagasta,2024-09-03,15.0
Región de Antofagasta,2024-09-10,15.0
Región de Antofagasta,2024-09-17,15.3
Región de Antofagasta,2024-09-24,15.4
Región de Antofagasta,2024-10-01,16.8
Región de Antofagasta,2024-10-08,16.5
Región de Antofagasta,2024-10-15,16.3
Región de Antofagasta,2024-10-22,16.5
Región de Antofagasta,2024-10-29,17.1
Región de Antofagasta,2024-11-05,17.9
Región de Antofagasta,2024-11-12,18.4
Región de Antofagasta,2024-11-19,18.1
Región de Antofagasta,2024-11-26,18.0
Región de Antofagasta,2024-12-03,17.3
Región de Antofagasta,2024-12-10,18.2
Región de Antofagasta,2024-12-17,18.7
Región de Antofagasta,2024-12-24,19.5
Región de Antofagasta,2024-12-31,20.0
Región de Antofagasta,2025-01-07,20.5
Región de Antofagasta,2025-01-14,21.4
Región de Antofagasta,2025-01-21,20.8
Región de Antofagasta,2025-01-28,21.4
Región de Antofagasta,2025-02-04,21.6
Región de Antofagasta,2025-02-11,21.9
Región de Antofagasta,2025-02-18,20.8
Región de Antofagasta,2025-02-25,21.0
Región de Antofagasta,2025-03-04,19.8
Región de Antofagasta,2025-03-11,19.6
Región de Antofagasta,2025-03-18,19.3
Región de Antofagasta,2025-03-25,19.6
Región de Antofagasta,2025-04-01,17.7
Región de Antofagasta,2025-04-08,17.2
Región de Antofagasta,2025-04-15,17.0
Región de Antofagasta,2025-04-22,16.7
Región de Antofagasta,2025-04-29,15.4
Región de Antofagasta,2025-05-06,15.6
Región de Antofagasta,2025-05-13,15.9
Región de Antofagasta,2025-05-20,15.2
Región de Antofagasta,2025-05-27,14.7
Región de Antofagasta,2025-06-03,14.2
Región de Antofagasta,2025-06-10,15.6
Región de Antofagasta,2025-06-17,13.3
Región de Antofagasta,2025-06-24,13.6
Región de Antofagasta,2025-07-01,14.9
Región de Antofagasta,2025-07-08,13.6
Región de Antofagasta,2025-07-15,13.6
Región de Antofagasta,2025-07-22,13.6
Región de Antofagasta,2025-07-29,14.4
Región de Antofagasta,2025-08-05,14.4
Región de Antofagasta,2025-08-12,14.5
Región de Antofagasta,2025-08-19,14.8
Región de Antofagasta,2025-08-26,14.0
Región de Antofagasta,2025-09-02,15.0
Región de Antofagasta,2025-09-09,15.4
Región de Antofagasta,2025-09-16,15.1
Región de Antofagasta,2025-09-23,16.0
Región de Antofagasta,2025-09-30,15.8
Región de Antofagasta,2025-10-07,15.9
Región de Antofagasta,2025-10-14,16.9
Región de Antofagasta,2025-10-21,17.4
Región de Antofagasta,2025-10-28,16.9
Región de Antofagasta,2025-11-04,17.3
Región de Antofagasta,2025-11-11,17.3
Región de Antofagasta,2025-11-18,18.8
Región de Antofagasta,2025-11-25,18.9
Región de Antofagasta,2025-12-02,19.5
Región de Antofagasta,2025-12-09,19.6
Región de Antofagasta,2025-12-16,20.1
Región de Antofagasta,2025-12-23,19.8
Región de Antofagasta,2025-12-30,19.95
Región de Arica Parinacota,2020-12-29,22.675
Región de Arica Parinacota,2021-01-05,21.6
Región de Arica Parinacota,2021-01-12,21.700000000000003
Región de Arica Parinacota,2021-01-19,21.05
Región de Arica Parinacota,2021-01-26,21.55
Región de Arica Parinacota,2021-02-02,22.15
Región de Arica Parinacota,2021-02-09,22.1
Región de Arica Parinacota,2021-02-16,20.9
Región de Arica Parinacota,2021-02-23,22.1
Región de Arica Parinacota,2021-03-02,22.75
Región de Arica Parinacota,2021-03-09,22.45
Región de Arica Parinacota,2021-03-16,21.2
Región de Arica Parinacota,2021-03-23,20.65
Región de Arica Parinacota,2021-03-30,20.55
Región de Arica Parinacota,2021-04-06,20.15
Región de Arica Parinacota,2021-04-13,20.1
Región de Arica Parinacota,2021-04-20,19.3
Región de Arica Parinacota,2021-04-27,18.75
Región de Arica Parinacota,2021-05-04,18.950000000000003
Región de Arica Parinacota,2021-05-11,18.8
Región de Arica Parinacota,2021-05-18,17.85
Región de Arica Parinacota,2021-05-25,18.2
Región de Arica Parinacota,2021-06-01,17.65
Región de Arica Parinacota,2021-06-08,16.1
Región de Arica Parinacota,2021-06-15,16.1
Región de Arica Parinacota,2021-06-22,16.2
Región de Arica Parinacota,2021-06-29,15.4
Región de Arica Parinacota,2021-07-06,15.6
Región de Arica Parinacota,2021-07-13,15.7
Región de Arica Parinacota,2021-07-20,15.4
Región de Arica Parinacota,2021-07-27,15.6
Región de Arica Parinacota,2021-08-03,15.3
Región de Arica Parinacota,2021-08-10,15.6
Región de Arica Parinacota,2021-08-17,15.5
Región de Arica Parinacota,2021-08-24,15.3
Región de Arica Parinacota,2021-08-31,15.6
Región de Arica Parinacota,2021-09-07,15.0
Región de Arica Parinacota,2021-09-14,15.3
Región de Arica Parinacota,2021-09-21,15.7
Región de Arica Parinacota,2021-09-28,16.3
Región de Arica Parinacota,2021-10-05,16.3
Región de Arica Parinacota,2021-10-12,16.0
Región de Arica Parinacota,2021-10-19,15.7
Región de Arica Parinacota,2021-10-26,16.4
Región de Arica Parinacota,2021-11-02,17.4
Región de Arica Parinacota,2021-11-09,18.15
Región de Arica Parinacota,2021-11-16,18.65
Región de Arica Parinacota,2021-11-23,18.65
Región de Arica Parinacota,2021-11-30,19.1
Región de Arica Parinacota,2021-12-07,19.9
Región de Arica Parinacota,2021-12-14,19.3
Región de Arica Parinacota,2021-12-21,21.5
Región de Arica Parinacota,2021-12-28,20.7
Región de Arica Parinacota,2022-01-04,21.45
Región de Arica Parinacota,2022-01-11,21.9
Región de Arica Parinacota,2022-01-18,21.1
Región de Arica Parinacota,2022-01-25,21.0
Región de Arica Parinacota,2022-02-01,20.2
Región de Arica Parinacota,2022-02-08,20.35
Región de Arica Parinacota,2022-02-15,22.0
Región de Arica Parinacota,2022-02-22,21.4
Región de Arica Parinacota,2022-03-01,21.8
Región de Arica Parinacota,2022-03-08,21.8
Región de Arica Parinacota,2022-03-15,19.7
Región de Arica Parinacota,2022-03-22,18.8
Región de Arica Parinacota,2022-03-29,18.4
Región de Arica Parinacota,2022-04-05,19.35
Región de Arica Parinacota,2022-04-12,18.35
Región de Arica Parinacota,2022-04-19,17.75
Región de Arica Parinacota,2022-04-26,17.9
Región de Arica Parinacota,2022-05-03,17.4
Región de Arica Parinacota,2022-05-10,17.0
Región de Arica Parinacota,2022-05-17,16.95
Región de Arica Parinacota,2022-05-24,17.700000000000003
Región de Arica Parinacota,2022-05-31,17.05
Región de Arica Parinacota,2022-06-07,15.65
