RegionNombre,Semana,Atenciones_Urg
Región Metropolitana de Santiago,2023-09-12,33816
Región Metropolitana de Santiago,2023-09-19,43406
Región Metropolitana de Santiago,2023-09-26,40422
Región Metropolitana de Santiago,2023-10-03,41895
Región Metropolitana de Santiago,2023-10-10,44401
Región Metropolitana de Santiago,2023-10-17,43623
Región Metropolitana de Santiago,2023-10-24,41072
Región Metropolitana de Santiago,2023-10-31,38081
Región Metropolitana de Santiago,2023-11-07,35873
Región Metropolitana de Santiago,2023-11-14,36096
Región Metropolitana de Santiago,2023-11-21,34660
Región Metropolitana de Santiago,2023-11-28,31807
Región Metropolitana de Santiago,2023-12-05,31130
Región Metropolitana de Santiago,2023-12-12,27994
Región Metropolitana de Santiago,2023-12-19,25097
Región Metropolitana de Santiago,2023-12-26,23630
Región Metropolitana de Santiago,2024-01-02,21028
Región Metropolitana de Santiago,2024-01-09,18332
Región Metropolitana de Santiago,2024-01-16,17022
Región Metropolitana de Santiago,2024-01-23,16745
Región Metropolitana de Santiago,2024-01-30,16957
Región Metropolitana de Santiago,2024-02-06,17676
Región Metropolitana de Santiago,2024-02-13,16511
Región Metropolitana de Santiago,2024-02-20,15671
Región Metropolitana de Santiago,2024-02-27,16219
Región Metropolitana de Santiago,2024-03-05,21303
Región Metropolitana de Santiago,2024-03-12,36640
Región Metropolitana de Santiago,2024-03-19,40416
Región Metropolitana de Santiago,2024-03-26,32512
Región Metropolitana de Santiago,2024-04-02,33850
Región Metropolitana de Santiago,2024-04-09,34830
Región Metropolitana de Santiago,2024-04-16,43036
Región Metropolitana de Santiago,2024-04-23,50063
Región Metropolitana de Santiago,2024-04-30,58482
Región Metropolitana de Santiago,2024-05-07,62558
Región Metropolitana de Santiago,2024-05-14,68367
Región Metropolitana de Santiago,2024-05-21,61761
Región Metropolitana de Santiago,2024-05-28,43250
Región Metropolitana de Santiago,2024-06-04,37758
Región Metropolitana de Santiago,2024-06-11,30040
Región Metropolitana de Santiago,2024-06-18,25085
Región Metropolitana de Santiago,2024-06-25,22664
Región Metropolitana de Santiago,2024-07-02,22762
Región Metropolitana de Santiago,2024-07-09,25073
Región Metropolitana de Santiago,2024-07-16,34574
Región Metropolitana de Santiago,2024-07-23,39290
Región Metropolitana de Santiago,2024-07-30,36480
Región Metropolitana de Santiago,2024-08-06,39489
Región Metropolitana de Santiago,2024-08-13,39717
Región Metropolitana de Santiago,2024-08-20,38551
Región Metropolitana de Santiago,2024-08-27,36571
Región Metropolitana de Santiago,2024-09-03,37975
Región Metropolitana de Santiago,2024-09-10,36663
Región Metropolitana de Santiago,2024-09-17,36768
Región Metropolitana de Santiago,2024-09-24,35704
Región Metropolitana de Santiago,2024-10-01,33630
Región Metropolitana de Santiago,2024-10-08,35353
Región Metropolitana de Santiago,2024-10-15,37865
Región Metropolitana de Santiago,2024-10-22,37409
Región Metropolitana de Santiago,2024-10-29,36856
Región Metropolitana de Santiago,2024-11-05,35966
Región Metropolitana de Santiago,2024-11-12,34739
Región Metropolitana de Santiago,2024-11-19,35131
Región Metropolitana de Santiago,2024-11-26,34663
Región Metropolitana de Santiago,2024-12-03,34239
Región Metropolitana de Santiago,2024-12-10,28718
Región Metropolitana de Santiago,2024-12-17,23618
Región Metropolitana de Santiago,2024-12-24,21176
Región Metropolitana de Santiago,2024-12-31,16640
Región Metropolitana de Santiago,2025-01-07,13468
Región Metropolitana de Santiago,2025-01-14,12281
Región Metropolitana de Santiago,2025-01-21,11716
Región Metropolitana de Santiago,2025-01-28,11358
Región Metropolitana de Santiago,2025-02-04,11144
Región Metropolitana de Santiago,2025-02-11,12143
Región Metropolitana de Santiago,2025-02-18,13090
Región Metropolitana de Santiago,2025-02-25,12980
Región Metropolitana de Santiago,2025-03-04,18053
Región Metropolitana de Santiago,2025-03-11,31230
Región Metropolitana de Santiago,2025-03-18,37888
Región Metropolitana de Santiago,2025-03-25,33198
Región Metropolitana de Santiago,2025-04-01,33733
Región Metropolitana de Santiago,2025-04-08,33689
Región Metropolitana de Santiago,2025-04-15,38374
Región Metropolitana de Santiago,2025-04-22,39539
Región Metropolitana de Santiago,2025-04-29,41748
Región Metropolitana de Santiago,2025-05-06,38857
Región Metropolitana de Santiago,2025-05-13,42031
Región Metropolitana de Santiago,2025-05-20,43369
Región Metropolitana de Santiago,2025-05-27,42380
Región Metropolitana de Santiago,2025-06-03,44100
Región Metropolitana de Santiago,2025-06-10,39628
Región Metropolitana de Santiago,2025-06-17,37055
Región Metropolitana de Santiago,2025-06-24,29324
Región Metropolitana de Santiago,2025-07-01,25765
Región Metropolitana de Santiago,2025-07-08,24944
Región Metropolitana de Santiago,2025-07-15,32266
Región Metropolitana de Santiago,2025-07-22,37249
Región Metropolitana de Santiago,2025-07-29,36488
Región Metropolitana de Santiago,2025-08-05,39446
Región Metropolitana de Santiago,2025-08-12,41730
Región Metropolitana de Santiago,2025-08-19,36864
Región Metropolitana de Santiago,2025-08-26,35450
Región Metropolitana de Santiago,2025-09-02,36601
Región Metropolitana de Santiago,2025-09-09,39262
Región Metropolitana de Santiago,2025-09-16,35986
Región Metropolitana de Santiago,2025-09-23,35562
Región Metropolitana de Santiago,2025-09-30,33286
Región Metropolitana de Santiago,2025-10-07,38698
Región Metropolitana de Santiago,2025-10-14,39784
Región Metropolitana de Santiago,2025-10-21,42015
Región Metropolitana de Santiago,2025-10-28,39852
Región Metropolitana de Santiago,2025-11-04,37980
Región Metropolitana de Santiago,2025-11-11,35420
Región Metropolitana de Santiago,2025-11-18,31249
Región Metropolitana de Santiago,2025-11-25,26440
Región Metropolitana de Santiago,2025-12-02,23378
Región Metropolitana de Santiago,2025-12-09,21268
Región Metropolitana de Santiago,2025-12-16,19803
Región Metropolitana de Santiago,2025-12-23,19108
Región Metropolitana de Santiago,2025-12-30,3881
Región de Antofagasta,2020-12-29,211
Región de Antofagasta,2021-01-05,365
Región de Antofagasta,2021-01-12,341
Región de Antofagasta,2021-01-19,324
Región de Antofagasta,2021-01-26,301
Región de Antofagasta,2021-02-02,256
Región de Antofagasta,2021-02-09,236
Región de Antofagasta,2021-02-16,211
Región de Antofagasta,2021-02-23,205
Región de Antofagasta,2021-03-02,239
Región de Antofagasta,2021-03-09,245
Región de Antofagasta,2021-03-16,378
Región de Antofagasta,2021-03-23,404
Región de Antofagasta,2021-03-30,490
Región de Antofagasta,2021-04-06,471
Región de Antofagasta,2021-04-13,468
Región de Antofagasta,2021-04-20,453
Región de Antofagasta,2021-04-27,473
Región de Antofagasta,2021-05-04,591
Región de Antofagasta,2021-05-11,584
Región de Antofagasta,2021-05-18,633
Región de Antofagasta,2021-05-25,563
Región de Antofagasta,2021-06-01,633
Región de Antofagasta,2021-06-08,668
Región de Antofagasta,2021-06-15,652
Región de Antofagasta,2021-06-22,693
Región de Antofagasta,2021-06-29,653
Región de Antofagasta,2021-07-06,610
Región de Antofagasta,2021-07-13,699
Región de Antofagasta,2021-07-20,641
Región de Antofagasta,2021-07-27,666
Región de Antofagasta,2021-08-03,732
Región de Antofagasta,2021-08-10,888
Región de Antofagasta,2021-08-17,970
Región de Antofagasta,2021-08-24,1025
Región de Antofagasta,2021-08-31,1010
Región de Antofagasta,2021-09-07,1002
Región de Antofagasta,2021-09-14,938
Región de Antofagasta,2021-09-21,1092
Región de Antofagasta,2021-09-28,995
Región de Antofagasta,2021-10-05,1120
Región de Antofagasta,2021-10-12,1305
Región de Antofagasta,2021-10-19,1349
Región de Antofagasta,2021-10-26,1180
Región de Antofagasta,2021-11-02,1200
Región de Antofagasta,2021-11-09,1310
Región de Antofagasta,2021-11-16,1381
